rank,name,deck_freq,copies,winrate,play_time,play_freq,play_winrate
205,Deathstalker Rexxar,0.049,1.000,0.566,32000,0.001,0.440
206,Mirror Entity,0.015,1.500,0.574,32000,0.001,0.474
207,Mass Dispel,0.039,1.100,0.535,32000,0.001,0.486
208,Steward of Darkshire,0.025,1.900,0.626,32000,0.001,0.531
209,Mirror Image,0.010,1.500,0.512,32000,0.001,0.383
210,Murloc Warleader,0.018,1.900,0.584,31000,0.001,0.530
211,Hallucination,0.020,1.800,0.486,31000,0.001,0.440
212,Potion of Madness,0.033,1.400,0.521,31000,0.001,0.494
213,Genn Greymane,0.101,1.000,0.628,31000,0.001,0.433
214,Consecration,0.026,1.600,0.536,30000,0.001,0.426
215,Vicious Fledgling,0.022,1.800,0.587,30000,0.001,0.505
216,Cinderstorm,0.016,1.700,0.559,30000,0.001,0.488
217,Crackling Razormaw,0.014,1.900,0.592,30000,0.001,0.501
218,Cabalist's Tome,0.018,1.400,0.490,30000,0.001,0.486
219,Lightbomb,0.054,1.100,0.541,30000,0.001,0.461
220,Murloc Tidecaller,0.014,1.900,0.582,30000,0.001,0.496
221,Mind Control Tech,0.036,1.200,0.516,30000,0.001,0.454
222,Execute,0.021,1.900,0.468,30000,0.001,0.436
223,Ice Lance,0.021,1.500,0.581,29000,0.001,0.537
224,Blood Razor,0.019,1.800,0.483,29000,0.001,0.480
225,Radiant Elemental,0.019,1.800,0.517,29000,0.001,0.471
226,Hunter's Mark,0.030,1.600,0.559,29000,0.001,0.427
227,Potion of Polymorph,0.025,1.300,0.592,29000,0.001,0.539
228,Twisting Nether,0.069,1.100,0.546,29000,0.001,0.495
229,Rallying Blade,0.034,1.500,0.612,29000,0.001,0.525
230,Entomb,0.032,1.300,0.507,29000,0.001,0.501
231,Living Roots,0.020,1.900,0.561,28000,0.001,0.588
232,"Grumble, Worldshaker",0.036,1.000,0.480,28000,0.001,0.586
233,Southsea Squidface,0.016,1.700,0.509,28000,0.001,0.571
234,Avenge,0.020,1.800,0.608,28000,0.001,0.527
235,Twilight Whelp,0.017,1.800,0.565,28000,0.001,0.500
236,Phantom Militia,0.007,1.700,0.476,28000,0.001,0.426
237,Explosive Sheep,0.022,1.600,0.533,27000,0.001,0.548
238,Aluneth,0.046,1.000,0.605,27000,0.001,0.604
239,Prince Keleseth,0.028,1.000,0.542,27000,0.001,0.535
240,Holy Nova,0.018,1.400,0.495,27000,0.001,0.414
241,Shimmering Tempest,0.012,1.500,0.479,27000,0.001,0.401
242,Divine Spirit,0.015,1.900,0.524,27000,0.001,0.560
243,Crystalline Oracle,0.017,1.500,0.464,27000,0.001,0.442
244,Stitched Tracker,0.022,1.600,0.527,27000,0.001,0.490
245,Twilight Guardian,0.019,1.700,0.544,27000,0.001,0.476
246,Kabal Talonpriest,0.018,1.800,0.566,26000,0.001,0.530
247,Southsea Captain,0.028,2.000,0.605,26000,0.001,0.552
248,Pick Pocket,0.013,1.400,0.468,26000,0.001,0.425
249,Rockpool Hunter,0.013,1.900,0.589,26000,0.001,0.510
250,Ancestral Knowledge,0.029,1.400,0.541,26000,0.001,0.470
251,Nerubian Egg,0.019,1.900,0.589,26000,0.001,0.504
252,Shadowreaper Anduin,0.043,1.000,0.519,26000,0.001,0.530
253,Molten Reflection,0.017,1.900,0.483,25000,0.001,0.722
254,Beckoner of Evil,0.013,1.800,0.470,25000,0.001,0.416
255,Cat Trick,0.019,1.800,0.589,25000,0.001,0.537
256,Meteor,0.023,1.200,0.526,25000,0.001,0.502
257,Flame Imp,0.015,1.900,0.563,25000,0.001,0.498
258,Brawl,0.021,1.800,0.451,25000,0.001,0.422
259,Lord Godfrey,0.056,1.000,0.549,25000,0.001,0.571
260,Undercity Huckster,0.016,1.800,0.490,25000,0.001,0.452
261,Quartermaster,0.024,1.900,0.629,25000,0.001,0.636
262,Primalfin Totem,0.021,1.500,0.615,24000,0.001,0.502
263,Blade Flurry,0.047,1.200,0.546,24000,0.001,0.546
264,Disciple of C'Thun,0.015,1.800,0.485,24000,0.001,0.453
265,Leeroy Jenkins,0.071,1.000,0.596,24000,0.001,0.660
266,Buccaneer,0.020,1.900,0.609,24000,0.001,0.569
267,Baleful Banker,0.034,1.100,0.491,24000,0.001,0.528
268,Possessed Lackey,0.020,1.600,0.539,24000,0.001,0.544
269,Mal'Ganis,0.061,1.000,0.556,24000,0.001,0.644
270,Shadow Ascendant,0.013,1.800,0.535,24000,0.001,0.468
271,Acherus Veteran,0.017,1.800,0.611,24000,0.001,0.519
272,Savannah Highmane,0.024,1.800,0.577,23000,0.001,0.506
273,"Y'Shaarj, Rage Unbound",0.059,1.000,0.564,23000,0.001,0.619
274,Bluegill Warrior,0.013,1.900,0.552,23000,0.001,0.454
275,Inner Fire,0.015,1.800,0.525,23000,0.001,0.557
276,Dr. Boom,0.040,1.000,0.576,23000,0.001,0.535
277,Sunkeeper Tarim,0.033,1.000,0.595,23000,0.001,0.547
278,Sir Finley Mrrgglton,0.029,1.000,0.563,23000,0.001,0.503
279,Witchwood Piper,0.021,1.500,0.485,23000,0.001,0.498
280,Gadgetzan Auctioneer,0.023,1.600,0.541,22000,0.001,0.539
281,Water Elemental,0.010,1.600,0.505,22000,0.001,0.412
282,Moonfire,0.015,2.000,0.554,22000,0.001,0.656
283,Fire Elemental,0.028,1.400,0.622,22000,0.001,0.498
284,Houndmaster,0.014,1.900,0.588,22000,0.001,0.485
285,Lightning Bolt,0.015,1.800,0.530,22000,0.001,0.485
286,Hydrologist,0.012,1.800,0.565,22000,0.001,0.465
287,Captain Greenskin,0.023,1.000,0.550,22000,0.001,0.638
288,Wild Pyromancer,0.020,1.700,0.505,21000,0.001,0.440
289,"Rin, the First Disciple",0.022,1.000,0.545,21000,0.001,0.520
290,Unstable Portal,0.006,1.600,0.550,21000,0.001,0.447
291,Deadly Shot,0.019,1.300,0.552,21000,0.001,0.390
292,Equality,0.022,1.600,0.535,21000,0.001,0.418
293,Scavenging Hyena,0.010,1.900,0.581,21000,0.001,0.455
294,Shield Slam,0.016,1.800,0.453,21000,0.001,0.485
295,Mirage Caller,0.018,1.800,0.523,21000,0.001,0.687
296,Skull of the Man'ari,0.022,1.000,0.551,21000,0.001,0.593
297,Jeweled Macaw,0.008,1.800,0.546,20000,0.001,0.425
298,Demonwrath,0.030,1.100,0.550,20000,0.001,0.527
299,Hagatha the Witch,0.040,1.000,0.547,20000,0.001,0.474
300,Volcanic Potion,0.019,1.100,0.516,20000,0.001,0.453
301,Warhorse Trainer,0.019,1.900,0.629,20000,0.001,0.556
302,Tortollan Shellraiser,0.012,1.300,0.491,20000,0.001,0.441
303,Shadowflame,0.036,1.000,0.555,20000,0.001,0.565
304,Shiv,0.016,1.600,0.523,20000,0.001,0.504
305,Azalina Soulthief,0.030,1.000,0.563,20000,0.001,0.698
306,Doomguard,0.040,1.700,0.558,20000,0.001,0.527
307,Doppelgangster,0.019,1.500,0.507,20000,0.001,0.519
308,Sound the Bells!,0.005,1.700,0.470,19000,0.001,0.475
309,C'Thun's Chosen,0.014,1.800,0.485,19000,0.001,0.462
310,Arcane Tyrant,0.013,1.700,0.573,19000,0.001,0.560
311,Spiritsinger Umbra,0.029,1.000,0.522,19000,0.001,0.549
312,Open the Waygate,0.011,1.000,0.474,19000,0.001,0.432
313,Twilight Elder,0.011,1.800,0.489,19000,0.001,0.440
314,Evolve,0.012,1.700,0.531,19000,0.001,0.514
315,Hooked Reaver,0.016,1.600,0.563,19000,0.001,0.477
316,Arcane Keysmith,0.013,1.300,0.528,19000,0.001,0.492
317,Raid Leader,0.015,1.900,0.629,19000,0.001,0.505
318,Free From Amber,0.017,1.500,0.528,19000,0.001,0.478
319,Vinecleaver,0.032,1.400,0.631,18000,0.001,0.492
320,Noble Sacrifice,0.012,1.900,0.597,18000,0.001,0.461
321,King Togwaggle,0.028,1.000,0.573,18000,0.001,0.742
322,Blackwing Corruptor,0.015,1.700,0.569,18000,0.001,0.518
323,Polluted Hoarder,0.013,1.900,0.543,18000,0.001,0.596
324,Competitive Spirit,0.020,1.300,0.620,18000,0.001,0.570
325,Alleycat,0.010,1.900,0.580,18000,0.001,0.476
326,Secretkeeper,0.012,1.900,0.599,18000,0.001,0.532
327,Tunnel Trogg,0.012,1.900,0.566,18000,0.001,0.536
328,Flame Geyser,0.003,1.600,0.492,18000,0.001,0.441
329,Frothing Berserker,0.016,1.900,0.540,18000,0.001,0.480
330,Shadow Bolt,0.019,1.100,0.534,18000,0.001,0.465
331,Brrrloc,0.011,1.500,0.500,18000,0.001,0.446
332,Wyrmrest Agent,0.011,1.700,0.579,18000,0.001,0.493
333,Duplicate,0.013,1.200,0.548,18000,0.001,0.498
334,Archmage Antonidas,0.024,1.000,0.510,18000,0.001,0.697
335,Jade Chieftain,0.016,1.800,0.542,18000,0.001,0.573
336,Drywhisker Armorer,0.012,1.900,0.441,18000,0.001,0.472
337,Youthful Brewmaster,0.018,1.400,0.463,18000,0.001,0.477
338,Dragon's Fury,0.015,1.400,0.513,17000,0.001,0.443
339,Counterfeit Coin,0.014,1.700,0.517,17000,0.001,0.526
340,Draenei Totemcarver,0.020,1.700,0.627,17000,0.001,0.554
341,Slam,0.012,1.700,0.480,17000,0.001,0.447
342,Kabal Courier,0.013,1.100,0.533,17000,0.001,0.472
343,Truesilver Champion,0.012,1.600,0.547,17000,0.001,0.461
344,Murloc Tidehunter,0.007,1.900,0.539,17000,0.001,0.421
345,Dark Peddler,0.013,1.400,0.578,17000,0.001,0.522
346,Argent Horserider,0.018,1.800,0.618,17000,0.001,0.526
347,Keeper of Uldaman,0.018,1.600,0.610,16000,0.001,0.509
348,Cheap Shot,0.006,1.400,0.450,16000,0.001,0.380
349,Annoy-o-Tron,0.010,1.600,0.551,16000,0.001,0.429
350,Simulacrum,0.012,1.200,0.493,16000,0.001,0.567
351,Coldlight Seer,0.011,1.800,0.591,16000,0.001,0.497
352,Voodoo Doll,0.020,1.200,0.515,16000,0.001,0.481
353,Faerie Dragon,0.011,1.800,0.507,16000,0.001,0.405
354,Grimscale Oracle,0.007,1.900,0.541,16000,0.001,0.451
355,Play Dead,0.020,1.700,0.537,16000,0.001,0.593
356,Starfall,0.014,1.400,0.523,16000,0.001,0.499
357,Malygos,0.025,1.000,0.532,16000,0.001,0.746
358,Ghost Light Angler,0.005,1.500,0.535,16000,0.001,0.390
359,Dancing Swords,0.008,1.900,0.465,16000,0.001,0.492
360,Bearshark,0.009,1.800,0.573,16000,0.001,0.476
361,Gentle Megasaur,0.011,1.800,0.593,16000,0.001,0.505
362,Mind Control,0.023,1.400,0.504,15000,0.001,0.518
363,Witchwood Grizzly,0.015,1.800,0.559,15000,0.001,0.452
364,Raven Familiar,0.009,1.500,0.522,15000,0.001,0.468
365,Twilight Acolyte,0.017,1.600,0.566,15000,0.001,0.485
366,Feral Spirit,0.010,1.700,0.543,15000,0.001,0.435
367,Soulfire,0.014,1.900,0.557,15000,0.001,0.484
368,Quick Shot,0.015,1.600,0.560,15000,0.001,0.485
369,Molten Giant,0.013,1.500,0.552,15000,0.001,0.533
370,Corridor Creeper,0.013,1.800,0.629,15000,0.001,0.514
371,Kindly Grandmother,0.009,1.900,0.577,15000,0.001,0.491
372,Thoughtsteal,0.009,1.400,0.450,15000,0.001,0.379
373,Scaleworm,0.012,1.600,0.546,15000,0.001,0.485
374,Alexstrasza,0.026,1.000,0.525,15000,0.001,0.578
375,C'Thun,0.021,1.000,0.479,15000,0.001,0.610
376,Dead Man's Hand,0.013,1.700,0.465,15000,0.001,0.548
377,Nightmare Amalgam,0.012,1.600,0.556,15000,0.001,0.457
378,Bone Drake,0.015,1.400,0.513,15000,0.001,0.476
379,Whirling Zap-o-matic,0.013,1.800,0.620,15000,0.001,0.541
380,Dark Iron Skulker,0.021,1.800,0.602,15000,0.001,0.479
381,Imp Gang Boss,0.012,1.600,0.556,14000,0.001,0.496
382,Defender of Argus,0.013,1.300,0.530,14000,0.001,0.468
383,Ysera,0.032,1.000,0.533,14000,0.001,0.535
384,Sunfury Protector,0.012,1.600,0.554,14000,0.001,0.486
385,Spiteful Summoner,0.011,1.900,0.555,14000,0.001,0.540
386,Tundra Rhino,0.010,1.600,0.552,14000,0.001,0.465
387,Power Overwhelming,0.016,1.500,0.557,14000,0.001,0.598
388,Power of the Wild,0.010,1.800,0.552,14000,0.001,0.519
389,Edwin VanCleef,0.018,1.000,0.557,14000,0.001,0.524
390,Prophet Velen,0.020,1.000,0.528,14000,0.001,0.756
391,Spikeridged Steed,0.011,1.700,0.525,14000,0.001,0.495
392,Lesser Ruby Spellstone,0.006,1.600,0.463,14000,0.001,0.409
393,Spectral Cutlass,0.012,1.800,0.492,14000,0.001,0.499
394,Blackwing Technician,0.009,1.700,0.561,14000,0.001,0.482
395,Evasion,0.016,1.300,0.534,14000,0.001,0.485
396,Pyros,0.011,1.000,0.528,14000,0.001,0.492
397,Cone of Cold,0.007,1.300,0.475,13000,0.001,0.442
398,Kor'kron Elite,0.014,2.000,0.541,13000,0.001,0.465
399,Flamecannon,0.005,1.400,0.542,13000,0.001,0.439
400,Forest Guide,0.008,1.900,0.495,13000,0.001,0.561
401,Death's Bite,0.015,1.800,0.516,13000,0.001,0.493
402,Cheat Death,0.011,1.600,0.477,13000,0.001,0.468
403,Mark of the Lotus,0.009,1.900,0.569,13000,0.001,0.575
404,Mire Keeper,0.011,1.600,0.571,13000,0.001,0.539
405,Eater of Secrets,0.018,1.000,0.498,13000,0.001,0.473
406,Gilded Gargoyle,0.013,1.200,0.535,13000,0.001,0.536
407,Servant of Kalimos,0.008,1.700,0.488,13000,0.001,0.452
